"filename", "language", "C#", "YAML", "XML", "Docker", "Ignore", "Markdown", "TypeScript JSX", "JSON", "TypeScript", "Terraform", "terraform-vars", "JSON with Comments", "JavaScript", "PostCSS", "HTML", "comment", "blank", "total"
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/global/ecr/ecr_repo.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 4, 16
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/global/ecr/output.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/global/ecr/variables.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/data/db_sg.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 11, 8, 42
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/data/outputs.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/data/rds.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 6, 45
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/data/s3_buckets.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 13, 23, 142
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/data/secrets.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 5, 25
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/data/variables.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 7, 46
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/dns_routing/certificate_manager.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 6, 29
